model_version,time_of_day,precision,recall,f1_score,tp,fp,fn
YOLOv3,Day,0.6835970024979184,0.04654195011337869,0.0871503635688127,821,380,16819
YOLOv3,Night,0.1653363160303015,0.1400999483026021,0.15167556726755438,3252,16417,19960
YOLOv5,Day,0.7232415902140673,0.026514939178205056,0.05115449088844428,473,181,17366
YOLOv5,Night,0.13416815742397137,0.07210205213533001,0.09379734962360807,1950,12584,25095
YOLOv8,Day,0.7641424478100696,0.6165532730035009,0.682459603714265,9334,2881,5805
YOLOv8,Night,0.9284651482202129,0.42273118111467206,0.5809535745617961,16224,1250,22155
