model,day_mean_precision,night_mean_precision,difference_precision,t_statistic_precision,p_value_precision,significant_precision,day_mean_recall,night_mean_recall,difference_recall,t_statistic_recall,p_value_recall,significant_recall,day_mean_f1_score,night_mean_f1_score,difference_f1_score,t_statistic_f1_score,p_value_f1_score,significant_f1_score
YOLOv3,0.6894706261001328,0.16931142520723585,-0.5201592008928969,10.43748174365643,0.009054792720265952,True,0.048055695864988354,0.1401173193739106,0.09206162350892223,-5.398687813266237,0.03263970180622111,True,0.08938320101227375,0.1528448223568907,0.06346162134461696,-2.163588423895394,0.16295235318305867,False
YOLOv5,0.7228854790419161,0.13041309486929614,-0.59247238417262,11.854336110878887,0.007041087371335518,True,0.026785423117802902,0.06999426237825021,0.04320883926044731,-1.720994344377767,0.22739258242028446,False,0.05163756206773315,0.0910957549341611,0.039458192866427946,-1.1984384158035224,0.35349326662969116,False
YOLOv8,0.7798156217272441,0.9235924567398051,0.143776835012561,-2.3136886729865225,0.14676619867651705,False,0.6087712988523392,0.42013327427247504,-0.18863802457986412,1.1283726774327822,0.37631594877660113,False,0.6658011774159953,0.5774682348865017,-0.08833294252949364,0.916968478608198,0.45595892141240313,False
