model_version,time_of_day,precision,recall,f1_score,tp,fp,fn
YOLOv3,Day,0.7726894254787677,0.05229052797655942,0.09795229047920624,928,273,16819
YOLOv3,Night,0.49056891555239207,0.32588064439866254,0.39161491943666543,9649,10020,19960
YOLOv5,Day,0.8073394495412844,0.029507097351067397,0.056933362087556616,528,126,17366
YOLOv5,Night,0.19217008394110363,0.10015060240963855,0.13167696006788931,2793,11741,25095
YOLOv8,Day,0.8997953336062219,0.654381995713265,0.7577125917755334,10991,1224,5805
YOLOv8,Night,0.9771088474304681,0.4352392362792832,0.6022256318007866,17074,400,22155
