model_version,time_of_day,precision,recall,f1_score,tp,fp,fn
YOLOv3,Day,0.9650291423813488,0.06432099450579944,0.12060353798126952,1159,42,16860
YOLOv3,Night,0.875743555849306,0.43465643846677937,0.5809639448210732,17225,2444,22404
YOLOv5,Day,0.9617737003058104,0.03490759753593429,0.06736999946446741,629,25,17390
YOLOv5,Night,0.9221824686940966,0.3382119155164148,0.4949135018370474,13403,1131,26226
YOLOv8,Day,0.9584936553417929,0.6497585881569454,0.7744922934444665,11708,507,6311
YOLOv8,Night,0.9963374155888749,0.4393247369350728,0.6097753182845034,17410,64,22219
